name,closed,lat,lng,city,state,country,url
Bald Mountain Ski Area,false,0.4657e2,-0.11587e3,Bald Mountain Road,Idaho,United States,http://www.skibaldmountain.com/about.html
Bogus Basin,false,0.43764e2,-0.116104e3,North Bogus Basin Road,Idaho,United States,http://www.bogusbasin.org
Brundage Mountain,false,0.45005e2,-0.116155e3,South Lodge Lane,Idaho,United States,http://www.brundage.com
Cottonwood Butte,false,0.460755e2,-0.1164528e3,Cottonwood Butte Ski Area,Idaho,United States,http://www.cottonwoodbutte.org/
Kelly Canyon,false,0.4364583e2,-0.11163e3,Kelly Canyon Ski Lodge,Idaho,United States,http://www.kellycanyonresort.com/
Little Ski Hill,false,0.4493e2,-0.11616306e3,ID 55,Idaho,United States,http://www.littleskihill.org/
Lookout Pass Ski and Recreation Area,false,0.47453e2,-0.115707e3,Mineral County,Montana,United States,http://www.skilookout.com
Lost Trail Powder Mountain,false,0.45692e2,-0.113952e3,Lost Trail Powder Mountain,Montana,United States,http://www.losttrail.com
Magic Mountain Resort,false,0.42188306e2,-0.114286111e3,Magic Mountain Resort,Idaho,United States,http://www.magicmountainresort.com/
Pebble Creek,false,0.42778e2,-0.11216e3,East Green Canyon Road,Idaho,United States,http://www.pebblecreekskiarea.com
Sandpoint,false,0.48267e2,-0.116567e3,US 2,Idaho,United States,http://www.cityofsandpoint.com/
Pomerelle,false,0.42318e2,-0.113608e3,Howell Canyon Road,Idaho,United States,http://www.pomerelle.com
Rotarun Ski Area,false,0.434975e2,-0.114366e3,Rotarun Ski Area,Idaho,United States,http://rotarunskiarea.org
Schweitzer Mountain,false,0.48367e2,-0.116623e3,Schweitzer Mountain Road,Idaho,United States,http://www.schweitzer.com
Silver Mountain,false,0.47495e2,-0.116135e3,Wardner,Idaho,United States,http://www.silvermt.com
Snowhaven,false,0.45869e2,-0.11609e3,Snowhaven Ski Patrol,Idaho,United States,http://grangeville.us/snowhaven-ski-and-tubing-hill/
