name,closed,lat,lng,city,state,country,url
Viimsi,false,0.5949972e2,0.2483361e2,Viimsi,Viimsi vald,Estonia,
Iso-Syöte,false,0.6562556e2,0.2760444e2,Etelän tietäjät,Mainland Finland,Finland,
Hervanta,false,0.614481e2,0.238521e2,Tampere,Mainland Finland,Finland,
Koli National Park,false,0.630575e2,0.2988722e2,Rantatie (Koli),Mainland Finland,Finland,https://www.koli.fi/en/
Levi,false,0.67805e2,0.24802e2,Hissitie,Mainland Finland,Finland,http://www.levi.fi/en/home.html
Rukatunturi,false,0.6619611e2,0.291125e2,Ruka,Mainland Finland,Finland,
Pallas-Yllästunturi National Park,false,0.6815889e2,0.2404028e2,Enontekiö,Mainland Finland,Finland,https://www.nationalparks.fi/en/pallas-yllastunturinp
Suomu,false,0.665598278e2,0.280223806e2,Kotakuja,Mainland Finland,Finland,http://www.suomutunturi.fi
Tahkovuori,false,0.632899e2,0.280405e2,Kuopio,Mainland Finland,Finland,
Vuokatti,false,0.641458e2,0.282717e2,Pohjavaarantie,Mainland Finland,Finland,
Vihti,false,0.60417e2,0.24317e2,Liukkaankuja,Mainland Finland,Finland,
Ylläs,false,0.6756444e2,0.2422444e2,Ylläksen historiapolku,Mainland Finland,Finland,http://www.yllas.fi
Pra-Loup,false,0.44369e2,0.6601e1,Uvernet-Fours,Provence-Alpes-Côte d'Azur,France,http://www.praloup.com/
Abriès-Ristolas,false,0.4479611e2,0.692778e1,Abriès-Ristolas,Provence-Alpes-Côte d'Azur,France,
Ancelle,false,0.446242e2,0.62072e1,Ancelle,Provence-Alpes-Côte d'Azur,France,http://www.ancelle.fr/
Arvieux,false,0.447672e2,0.67397e1,Arvieux,Provence-Alpes-Côte d'Azur,France,
Ceillac,false,0.446681e2,0.67775e1,Ceillac,Provence-Alpes-Côte d'Azur,France,
Château-Ville-Vieille,false,0.447575e2,0.67917e1,Château-Ville-Vieille,Provence-Alpes-Côte d'Azur,France,
Saint-Michel-de-Chaillol,false,0.446831e2,0.61681e1,Chaillol 1600,Provence-Alpes-Côte d'Azur,France,
Crévoux,false,0.445489e2,0.66081e1,Crévoux,Provence-Alpes-Côte d'Azur,France,
Dévoluy,false,0.446933e2,0.59419e1,Le Dévoluy,Provence-Alpes-Côte d'Azur,France,
La Grave,false,0.450469e2,0.63067e1,La Grave,Provence-Alpes-Côte d'Azur,France,
Montgenèvre,false,0.449316e2,0.67219e1,Montgenèvre,Provence-Alpes-Côte d'Azur,France,
Orcières-Merlette,false,0.44697e2,0.6322e1,Orcières,Provence-Alpes-Côte d'Azur,France,http://orcieres.com
Laye,false,0.446619e2,0.6085e1,Laye,Provence-Alpes-Côte d'Azur,France,
Les Orres,false,0.445147e2,0.65514e1,Les Orres,Provence-Alpes-Côte d'Azur,France,
Puy-Saint-Vincent,false,0.448308e2,0.64878e1,Puy-Saint-Vincent,Provence-Alpes-Côte d'Azur,France,
Réallon,false,0.445964e2,0.63656e1,Réallon,Provence-Alpes-Côte d'Azur,France,
Risoul,false,0.446497e2,0.66408e1,Risoul,Provence-Alpes-Côte d'Azur,France,
Saint-Léger-les-Mélèzes,false,0.446444e2,0.61989e1,Saint-Léger-les-Mélèzes,Provence-Alpes-Côte d'Azur,France,
Saint-Véran,false,0.447008e2,0.68692e1,Saint-Véran,Provence-Alpes-Côte d'Azur,France,
Serre Chevalier,false,0.4494444e2,0.656667e1,La Salle-les-Alpes,Provence-Alpes-Côte d'Azur,France,http://www.serre-chevalier.com
Vars,false,0.445958e2,0.66906e1,Vars,Provence-Alpes-Côte d'Azur,France,
Auron,false,0.44225e2,0.693083e1,Saint-Étienne-de-Tinée,Provence-Alpes-Côte d'Azur,France,http://www.auron.com
Beuil,false,0.440958e2,0.69883e1,Beuil,Provence-Alpes-Côte d'Azur,France,
Isola 2000,false,0.4418667e2,0.715833e1,Isola,Provence-Alpes-Côte d'Azur,France,http://www.isola2000.com
Valdeblore,false,0.440719e2,0.71719e1,La Roche,Provence-Alpes-Côte d'Azur,France,
Col de Rousset,false,0.44840611e2,0.54060028e1,Saint-Agnan-en-Vercors,Auvergne-Rhône-Alpes,France,
Saint-Martin-en-Vercors,false,0.45023e2,0.5443e1,Saint-Martin-en-Vercors,Auvergne-Rhône-Alpes,France,
Valdrôme,false,0.44505e2,0.5573e1,Valdrôme,Auvergne-Rhône-Alpes,France,
La Jarjatte,false,0.44675367e2,0.5756149e1,Lus-la-Croix-Haute,Auvergne-Rhône-Alpes,France,
Alpe d'Huez,false,0.4506028e2,0.607139e1,Auris,Auvergne-Rhône-Alpes,France,http://www.alpedhuez.com/
Autrans,false,0.45176e2,0.5542e1,Autrans-Méaudre en Vercors,Auvergne-Rhône-Alpes,France,
Chamrousse,false,0.451092e2,0.58744e1,Chamrousse,Auvergne-Rhône-Alpes,France,http://winter.chamrousse.com
Le Bourg-d'Oisans,false,0.450558e2,0.60303e1,Le Bourg-d'Oisans,Auvergne-Rhône-Alpes,France,
Chichilianne,false,0.448122e2,0.55731e1,Chichilianne,Auvergne-Rhône-Alpes,France,
Col de Porte,false,0.4529e2,0.576694e1,Sarcenas,Auvergne-Rhône-Alpes,France,
Les Deux Alpes,false,0.4500722e2,0.612167e1,Les Deux Alpes,Auvergne-Rhône-Alpes,France,http://www.les2alpes.com
Col d'Ornon,false,0.4500889e2,0.59675e1,Chantepérier,Auvergne-Rhône-Alpes,France,
La Grave,false,0.450469e2,0.63067e1,La Grave,Provence-Alpes-Côte d'Azur,France,
Lans-en-Vercors,false,0.451292e2,0.55892e1,Lans-en-Vercors,Auvergne-Rhône-Alpes,France,
Gresse-en-Vercors,false,0.449031e2,0.55675e1,Gresse-en-Vercors,Auvergne-Rhône-Alpes,France,
La Motte-d'Aveillans,false,0.449619e2,0.57458e1,La Motte-d'Aveillans,Auvergne-Rhône-Alpes,France,
Méaudre,false,0.451278e2,0.55278e1,Autrans-Méaudre en Vercors,Auvergne-Rhône-Alpes,France,
Saint-Hilaire,false,0.453103e2,0.58878e1,Saint-Hilaire,Auvergne-Rhône-Alpes,France,
Saint-Nizier-du-Moucherotte,false,0.451719e2,0.56311e1,Saint-Nizier-du-Moucherotte,Auvergne-Rhône-Alpes,France,
Saint-Pierre-de-Chartreuse,false,0.453433e2,0.58161e1,Saint-Pierre-de-Chartreuse,Auvergne-Rhône-Alpes,France,
Les Sept Laux,false,0.452557e2,0.59931e1,Les Adrets,Auvergne-Rhône-Alpes,France,http://www.les7laux.com
Tréminis,false,0.447483e2,0.57697e1,Tréminis,Auvergne-Rhône-Alpes,France,
Vaujany,false,0.451586e2,0.60775e1,Vaujany,Auvergne-Rhône-Alpes,France,
Villard-de-Lans,false,0.450708e2,0.55514e1,Villard-de-Lans,Auvergne-Rhône-Alpes,France,
Les Arcs,false,0.4557167e2,0.680778e1,Arpette,Auvergne-Rhône-Alpes,France,https://www.lesarcs.com/
Villard-Reculas,false,0.450931e2,0.60325e1,Villard-Reculas,Auvergne-Rhône-Alpes,France,
Aussois,false,0.452272e2,0.67423e1,Aussois,Auvergne-Rhône-Alpes,France,
Bessans,false,0.4532e2,0.7e1,Bessans,Auvergne-Rhône-Alpes,France,
Bonneval-sur-Arc,false,0.453722e2,0.70472e1,Bonneval-sur-Arc,Auvergne-Rhône-Alpes,France,http://www.mairie-de-bonnevalsurarc.fr/
Bramans,false,0.452244e2,0.67764e1,Val-Cenis,Auvergne-Rhône-Alpes,France,
Brides-les-Bains,false,0.454533e2,0.65675e1,Brides-les-Bains,Auvergne-Rhône-Alpes,France,
Champagny-en-Vanoise,false,0.454553e2,0.66933e1,Champagny-en-Vanoise,Auvergne-Rhône-Alpes,France,
Le Corbier,false,0.452394389e2,0.627139e1,Villarembert,Auvergne-Rhône-Alpes,France,
Courchevel,false,0.45415e2,0.663389e1,Courchevel,Auvergne-Rhône-Alpes,France,https://www.courchevel.com
Saint-Pierre-d'Entremont,false,0.454161e2,0.58547e1,Saint-Pierre-d'Entremont,Auvergne-Rhône-Alpes,France,
Crest-Voland,false,0.457958e2,0.65064e1,Crest-Voland,Auvergne-Rhône-Alpes,France,
Flumet,false,0.458203e2,0.65175e1,Flumet,Auvergne-Rhône-Alpes,France,
La Giettaz,false,0.458631e2,0.64958e1,La Giettaz,Auvergne-Rhône-Alpes,France,
Granier,false,0.455733e2,0.66514e1,Aime-la-Plagne,Auvergne-Rhône-Alpes,France,
Ugine,false,0.457533e2,0.64206e1,Rue Chaffale,Auvergne-Rhône-Alpes,France,
Les Karellis,false,0.45228783e2,0.6403313e1,Montricher-Albanne,Auvergne-Rhône-Alpes,France,http://www.karellis.com/en/
