name,closed,lat,lng,city,state,url,forecast_url
Smugglers' Notch Resort,false,44.57278,-72.77611,Cambridge,Vermont,http://www.smuggs.com,"https://api.weather.gov/gridpoints/BTV/101,62/forecast"
Stowe Mountain Resort,false,44.53194,-72.7875,,Vermont,http://www.stowe.com,"https://api.weather.gov/gridpoints/BTV/101,60/forecast"
Stratton Mountain Resort,false,43.11417,-72.90667,Stratton,Vermont,https://www.stratton.com/,"https://api.weather.gov/gridpoints/ALY/83,84/forecast"
Sugarbush Resort,true,44.135098,-72.885962,Warren,Vermont,http://www.sugarbush.com,"https://api.weather.gov/gridpoints/BTV/101,42/forecast"
Wisp Ski Resort,false,39.55806,-79.36306,McHenry,Maryland,,"https://api.weather.gov/gridpoints/LWX/12,91/forecast"
Big Snow American Dream,true,40.81111,-74.07,East Rutherford,New Jersey,http://bigsnowamericandream.com,"https://api.weather.gov/gridpoints/OKX/29,38/forecast"
Campgaw Mountain,false,41.0542633,-74.1993123,Campgaw Mountain Reservation,New Jersey,,"https://api.weather.gov/gridpoints/OKX/23,48/forecast"
Hidden Valley,false,41.1856,-74.4806,National Winter Activity Center,New Jersey,,"https://api.weather.gov/gridpoints/PHI/64,134/forecast"
Mountain Creek,false,41.181,-74.513,,New Jersey,http://www.mountaincreek.com,"https://api.weather.gov/gridpoints/PHI/63,133/forecast"
Belleayre Mountain,false,42.1422139,-74.510778,Town of Shandaken,New York,https://www.belleayre.com,"https://api.weather.gov/gridpoints/ALY/36,31/forecast"
Bristol Mountain Ski Resort,false,42.745,-77.404444,Town of South Bristol,New York,http://www.bristolmountain.com/,"https://api.weather.gov/gridpoints/BUF/85,46/forecast"
Catamount Ski Area,false,42.171457,-73.477764,Town of Hillsdale,New York,http://www.catamountski.com/,"https://api.weather.gov/gridpoints/ALY/71,38/forecast"
Gore Mountain,false,43.67222,-74.00694,Town of Johnsburg,New York,http://www.goremountain.com/,"https://api.weather.gov/gridpoints/ALY/42,103/forecast"
Greek Peak Mountain Resort,false,42.5085996,-76.1460485,Town of Virgil,New York,https://www.greekpeak.net,"https://api.weather.gov/gridpoints/BGM/55,74/forecast"
Holiday Valley,false,42.2625,-78.66806,Holiday Valley Lodge,New York,http://www.holidayvalley.com/,"https://api.weather.gov/gridpoints/BUF/45,18/forecast"
Hunter Mountain,false,42.200278,-74.230278,Town of Hunter,New York,https://www.huntermtn.com,"https://api.weather.gov/gridpoints/ALY/45,35/forecast"
McCauley Mountain,false,43.6925676,-74.9612837,McCauley Mountain Ski Area,New York,,"https://api.weather.gov/gridpoints/ALY/10,99/forecast"
Peek'n Peak,true,42.0625,-79.73667,Town of Clymer,New York,http://www.pknpk.com/,"https://api.weather.gov/gridpoints/BUF/10,5/forecast"
Plattekill Mountain,false,42.290251,-74.653678,Town of Roxbury,New York,,"https://api.weather.gov/gridpoints/BGM/106,71/forecast"
Thunder Ridge Ski Area,true,41.50722,-73.58111,,New York,http://www.thunderridgeski.com/,"https://api.weather.gov/gridpoints/OKX/41,72/forecast"
Titus Mountain,false,44.76333,-74.23528,Titus Mountain Family Ski Center,New York,https://www.titusmountain.com/,"https://api.weather.gov/gridpoints/BTV/52,64/forecast"
West Mountain,true,43.28556,-73.72833,,New York,http://www.westmtn.net/,"https://api.weather.gov/gridpoints/ALY/54,87/forecast"
Whiteface Mountain,false,44.36583,-73.90278,Town of Wilmington,New York,http://www.whiteface.com,"https://api.weather.gov/gridpoints/BTV/66,47/forecast"
